Repo,NodeName,OpType,Partition,dataType,inFIFODepths,inWidth,outFIFODepths,outWidth,shape,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[32],4,"[1, 16, 16, 8]",12,12,0,0,86,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[593],96,"[1, 16, 16, 36]",11,11,0,0,110,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[2],8,"[1, 16, 16, 20]",5,5,0,0,14,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[338],4,"[1, 16, 16, 8]",4,4,0,0,9,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],16,[146],32,"[1, 34, 34, 4]",11,11,0,0,51,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],32,[2],288,"[1, 16, 16, 36]",24,24,0,0,326,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],8,[2],40,"[1, 16, 16, 20]",12,10,0,2,49,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,StreamingDataWidthConverter_rtl,partition_2,b'UINT2',[2],2,[1022],4,"[1, 16, 16, 8]",4,4,0,0,9,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],4,[32],8,"[1, 16, 16, 8]",5,5,0,0,15,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],8,[593],96,"[1, 16, 16, 36]",11,11,0,0,110,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],4,[2],16,"[1, 16, 16, 20]",6,6,0,0,24,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,partition_2,b'UINT4',[2],4,[338],8,"[1, 16, 16, 8]",5,5,0,0,15,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,partition_2,b'UINT8',[2],16,[146],32,"[1, 34, 34, 4]",12,12,0,0,51,0,0,0
