Repo,NodeName,OpType,Partition,dataType,depth,folded_shape,impl_style,normal_shape,ram_style,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,partition_2,b'UINT8',869,"[1, 32, 32, 4, 1]",b'rtl',"[1, 32, 32, 4]",b'auto',299,75,0,224,29,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,partition_2,b'UINT8',4624,"[1, 34, 34, 4, 1]",b'vivado',"[1, 34, 34, 4]",b'auto',30,30,0,0,69,2,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,partition_2,b'UINT8',9216,"[1, 16, 16, 36, 1]",b'vivado',"[1, 16, 16, 36]",b'auto',11,11,0,0,19,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 20, 1]",b'rtl',"[1, 16, 16, 20]",b'auto',43,43,0,0,57,2,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 8, 1]",b'rtl',"[1, 16, 16, 8]",b'auto',48,38,0,10,15,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,partition_2,b'UINT2',32,"[1, 16, 16, 4, 2]",b'rtl',"[1, 16, 16, 8]",b'auto',43,43,0,0,57,0,1,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,partition_2,b'INT12',2,"[1, 6, 1]",b'rtl',"[1, 6]",b'auto',6,6,0,0,7,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 1, 1]",b'rtl',"[1, 1]",b'auto',43,43,0,0,57,0,1,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,partition_2,b'UINT8',869,"[1, 32, 32, 4, 1]",b'rtl',"[1, 32, 32, 4]",b'auto',299,75,0,224,29,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,partition_2,b'UINT8',4624,"[1, 34, 34, 4, 1]",b'vivado',"[1, 34, 34, 4]",b'auto',30,30,0,0,69,2,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 36, 1]",b'rtl',"[1, 16, 16, 36]",b'auto',12,12,0,0,20,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT8',593,"[1, 16, 16, 3, 12]",b'vivado',"[1, 16, 16, 36]",b'auto',43,43,0,0,57,3,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 20, 1]",b'rtl',"[1, 16, 16, 20]",b'auto',7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 5, 4]",b'rtl',"[1, 16, 16, 20]",b'auto',11,11,0,0,20,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 8, 1]",b'rtl',"[1, 16, 16, 8]",b'auto',7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,partition_2,b'UINT2',338,"[1, 16, 16, 4, 2]",b'vivado',"[1, 16, 16, 8]",b'auto',47,47,0,0,53,0,1,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,partition_2,b'INT12',2,"[1, 6, 1]",b'rtl',"[1, 6]",b'auto',16,16,0,0,28,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 1, 1]",b'rtl',"[1, 1]",b'auto',7,7,0,0,10,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,partition_2,b'UINT8',435,"[1, 32, 32, 2, 2]",b'rtl',"[1, 32, 32, 4]",b'auto',310,86,0,224,35,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 34, 34, 2, 2]",b'rtl',"[1, 34, 34, 4]",b'auto',19,19,0,0,35,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,partition_2,b'UINT8',146,"[1, 34, 34, 1, 4]",b'rtl',"[1, 34, 34, 4]",b'auto',262,102,0,160,45,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 9, 4]",b'rtl',"[1, 16, 16, 36]",b'auto',35,35,0,0,67,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 1, 36]",b'rtl',"[1, 16, 16, 36]",b'auto',298,298,0,0,586,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 5, 4]",b'rtl',"[1, 16, 16, 20]",b'auto',11,11,0,0,19,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 1, 20]",b'rtl',"[1, 16, 16, 20]",b'auto',39,39,0,0,75,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,partition_2,b'UINT2',2,"[1, 16, 16, 8, 1]",b'rtl',"[1, 16, 16, 8]",b'auto',4,4,0,0,7,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,partition_2,b'UINT2',1022,"[1, 16, 16, 4, 2]",b'vivado',"[1, 16, 16, 8]",b'auto',43,43,0,0,57,0,1,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,partition_2,b'INT12',2,"[1, 6, 1]",b'rtl',"[1, 6]",b'auto',16,16,0,0,28,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 1, 1]",b'rtl',"[1, 1]",b'auto',7,7,0,0,10,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,partition_2,b'UINT8',869,"[1, 32, 32, 4, 1]",b'rtl',"[1, 32, 32, 4]",b'auto',298,74,0,224,29,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,partition_2,b'UINT8',4624,"[1, 34, 34, 4, 1]",b'vivado',"[1, 34, 34, 4]",b'auto',30,30,0,0,69,2,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,partition_2,b'UINT8',9216,"[1, 16, 16, 36, 1]",b'vivado',"[1, 16, 16, 36]",b'auto',30,30,0,0,73,4,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 20, 1]",b'rtl',"[1, 16, 16, 20]",b'auto',8,8,0,0,12,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 8, 1]",b'rtl',"[1, 16, 16, 8]",b'auto',7,7,0,0,11,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,partition_2,b'UINT4',32,"[1, 16, 16, 4, 2]",b'rtl',"[1, 16, 16, 8]",b'auto',38,30,0,8,18,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,partition_2,b'INT14',2,"[1, 6, 1]",b'rtl',"[1, 6]",b'auto',18,18,0,0,32,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 1, 1]",b'rtl',"[1, 1]",b'auto',7,7,0,0,10,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,partition_2,b'UINT8',869,"[1, 32, 32, 4, 1]",b'rtl',"[1, 32, 32, 4]",b'auto',298,74,0,224,29,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,partition_2,b'UINT8',4624,"[1, 34, 34, 4, 1]",b'vivado',"[1, 34, 34, 4]",b'auto',30,30,0,0,69,2,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 36, 1]",b'rtl',"[1, 16, 16, 36]",b'auto',12,12,0,0,20,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT8',593,"[1, 16, 16, 3, 12]",b'vivado',"[1, 16, 16, 36]",b'auto',43,43,0,0,57,3,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 20, 1]",b'rtl',"[1, 16, 16, 20]",b'auto',8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 5, 4]",b'rtl',"[1, 16, 16, 20]",b'auto',19,19,0,0,36,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 8, 1]",b'rtl',"[1, 16, 16, 8]",b'auto',8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,partition_2,b'UINT4',338,"[1, 16, 16, 4, 2]",b'vivado',"[1, 16, 16, 8]",b'auto',47,47,0,0,53,0,1,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,partition_2,b'INT14',2,"[1, 6, 1]",b'rtl',"[1, 6]",b'auto',18,18,0,0,32,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 1, 1]",b'rtl',"[1, 1]",b'auto',7,7,0,0,10,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,partition_2,b'UINT8',435,"[1, 32, 32, 2, 2]",b'rtl',"[1, 32, 32, 4]",b'auto',310,86,0,224,35,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 34, 34, 2, 2]",b'rtl',"[1, 34, 34, 4]",b'auto',20,20,0,0,36,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,partition_2,b'UINT8',146,"[1, 34, 34, 1, 4]",b'rtl',"[1, 34, 34, 4]",b'auto',258,98,0,160,45,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 9, 4]",b'rtl',"[1, 16, 16, 36]",b'auto',36,36,0,0,68,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 2, 18]",b'rtl',"[1, 16, 16, 36]",b'auto',149,149,0,0,293,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 4, 5]",b'rtl',"[1, 16, 16, 20]",b'auto',23,23,0,0,43,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 1, 20]",b'rtl',"[1, 16, 16, 20]",b'auto',83,83,0,0,163,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,partition_2,b'UINT4',2,"[1, 16, 16, 8, 1]",b'rtl',"[1, 16, 16, 8]",b'auto',7,7,0,0,11,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,StreamingFIFO_rtl,partition_2,b'UINT4',1022,"[1, 16, 16, 4, 2]",b'vivado',"[1, 16, 16, 8]",b'auto',43,43,0,0,57,0,1,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,StreamingFIFO_rtl,partition_2,b'INT14',2,"[1, 6, 1]",b'rtl',"[1, 6]",b'auto',18,18,0,0,32,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 1, 1]",b'rtl',"[1, 1]",b'auto',7,7,0,0,10,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,partition_2,b'UINT8',869,"[1, 32, 32, 4, 1]",b'rtl',"[1, 32, 32, 4]",b'auto',299,75,0,224,29,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,partition_2,b'UINT8',4624,"[1, 34, 34, 4, 1]",b'vivado',"[1, 34, 34, 4]",b'auto',30,30,0,0,69,2,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,partition_2,b'UINT8',9216,"[1, 16, 16, 36, 1]",b'vivado',"[1, 16, 16, 36]",b'auto',30,30,0,0,73,4,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 20, 1]",b'rtl',"[1, 16, 16, 20]",b'auto',12,12,0,0,20,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,StreamingFIFO_rtl,partition_2,b'UINT8',2,"[1, 16, 16, 8, 1]",b'rtl',"[1, 16, 16, 8]",b'auto',11,11,0,0,19,0,0,0
